Timestamp,Ch1_Bias,Ch1_Derived_Peak,Ch1_Direct,Ch1_Direct RMS,Ch1_Veolocity_Peak,Ch1_Velocity_RMS,Ch2_Bias,Ch2_Derived_Peak,Ch2_Direct,Ch2_Direct_RMS,Ch2_Velocity_Peak,Ch2_Velocity_RMS
7/20/23 0:59,-12.025,0.002,0.002,0.002,0.004,0.003,-11.979,0.001,0.003,0,0.004,0.001
7/20/23 1:01,-12.026,0.004,0.002,0.003,0.002,0.001,-11.98,0.001,0.002,0,0.002,0.001
7/20/23 5:30,-12.024,0.001,0.005,0,0.005,0.003,-11.979,0.005,0.006,0.004,0.006,0.004
7/20/23 6:03,-12.025,0.008,0.012,0.006,0.022,0.007,-11.979,0.008,0.012,0.005,0.022,0.001
7/20/23 10:13,-12.024,0.001,0.002,0,0.002,0.001,-11.978,0.001,0.002,0,0.002,0.006
7/20/23 11:45,-12.025,0.006,0.006,0.004,0.008,0.008,-11.978,0.005,0.002,0.003,0.002,0.001
7/20/23 15:34,-12.024,0.001,0.002,0,0.002,0.001,-11.979,0.001,0.005,0,0.008,0.006
7/20/23 17:48,-12.025,0.003,0.002,0.002,0.002,0.003,-11.979,0.003,0.005,0.002,0.002,0.003
7/20/23 18:19,-12.024,0.001,0.005,0,0.007,0.001,-11.978,0.001,0.002,0,0.007,0.001
7/20/23 23:00,-12.024,0.002,0.004,0.002,0.004,0.003,-11.979,0.002,0.003,0.001,0.004,0.003
7/20/23 23:39,-12.025,0.001,0.002,0,0.002,0.001,-11.978,0.001,0.002,0,0.002,0.001
7/21/23 2:33,-12.024,0.001,0.002,0,0.002,0.001,-11.978,0.004,0.005,0.003,0.002,0.001
7/21/23 4:47,-12.025,0.003,0.005,0.002,0.007,0.004,-11.979,0.001,0.002,0,0.006,0.003
7/21/23 8:35,-12.024,0.011,0.008,0.008,0.015,0.016,-11.978,0.01,0.016,0.007,0.013,0.013
7/21/23 10:42,-12.025,0.001,0.002,0,0.002,0.001,-11.979,0.001,0.002,0,0.002,0.001
7/21/23 12:53,-12.024,0.001,0.002,0,0.002,0.001,-11.978,0.001,0.002,0,0.002,0.001
7/21/23 15:38,-12.025,0.037,0.136,0.026,0.019,0.007,-11.979,0.047,0.146,0.033,0.023,0.01
7/21/23 16:01,-12.024,0.02,0.097,0.014,0.018,0.009,-11.978,0.026,0.108,0.018,0.025,0.012
7/21/23 19:07,-12.026,0.001,0.002,0,0.002,0.001,-11.981,0.001,0.002,0,0.002,0.001
7/21/23 20:03,-12.026,0.001,0.002,0,0.002,0.001,-11.98,0.001,0.002,0,0.002,0.001
7/22/23 0:41,-12.024,0.002,0.004,0.001,0.003,0.002,-11.978,0.002,0.003,0.001,0.003,0.002
7/22/23 1:55,-12.025,0.002,0.002,0.001,0.003,0.002,-11.979,0.001,0.002,0.001,0.002,0.001
7/22/23 5:01,-12.024,0.001,0.004,0,0.002,0.001,-11.978,0.001,0.003,0,0.003,0.002
7/22/23 7:56,-12.025,0.001,0.002,0,0.002,0.001,-11.978,0.001,0.002,0,0.003,0.001
7/22/23 10:27,-12.024,0.002,0.004,0.002,0.004,0.003,-11.979,0.002,0.003,0.001,0.002,0.002
7/22/23 15:17,-12.025,0.002,0.002,0.002,0.002,0.002,-11.978,0.001,0.003,0,0.004,0.002
7/22/23 15:32,-12.024,0.001,0.003,0,0.005,0.001,-11.979,0.001,0.002,0.001,0.002,0.001
